Location,lat,lon,HistMaxTemp,MaxTemp2024,HistRainfall,Rainfall2024,HistHumidity,Humidity2024,HistWind,Wind2024
Adelaide,-34.93,138.6,23.04,23.47,1.58,0.94,44.63,49.44,15.47,14.78
Brisbane,-27.47,153.02,26.52,27.34,3.17,3.9,54.03,56.65,11.03,19.59
Darwin,-12.46,130.84,32.54,33.84,5.28,5.64,52.19,47.34,20.82,12.46
Hobart,-42.88,147.33,17.95,18.86,1.59,1.49,52.89,53.77,19.82,19.38
Melbourne,-37.81,144.96,21.24,21.11,2.0,1.05,51.19,54.85,22.06,23.47
Perth,-31.95,115.86,25.17,24.08,1.88,3.01,46.76,47.92,14.55,16.14
Sydney,-33.86,151.21,23.07,24.61,3.3,2.19,54.72,52.38,19.4,17.72
